"","C","I","D","R","date"
"1",1,1,0,0,2020-01-22
"2",1,1,0,0,2020-01-23
"3",2,2,0,0,2020-01-24
"4",2,2,0,0,2020-01-25
"5",5,5,0,0,2020-01-26
"6",5,5,0,0,2020-01-27
"7",5,5,0,0,2020-01-28
"8",5,5,0,0,2020-01-29
"9",5,5,0,0,2020-01-30
"10",7,7,0,0,2020-01-31
"11",8,8,0,0,2020-02-01
"12",8,8,0,0,2020-02-02
"13",11,11,0,0,2020-02-03
"14",11,11,0,0,2020-02-04
"15",11,11,0,0,2020-02-05
"16",11,11,0,0,2020-02-06
"17",11,11,0,0,2020-02-07
"18",11,11,0,0,2020-02-08
"19",11,8,0,3,2020-02-09
"20",11,8,0,3,2020-02-10
"21",12,9,0,3,2020-02-11
"22",12,9,0,3,2020-02-12
"23",13,10,0,3,2020-02-13
"24",13,10,0,3,2020-02-14
"25",13,10,0,3,2020-02-15
"26",13,10,0,3,2020-02-16
"27",13,10,0,3,2020-02-17
"28",13,10,0,3,2020-02-18
"29",13,10,0,3,2020-02-19
"30",13,10,0,3,2020-02-20
"31",15,10,0,5,2020-02-21
"32",15,10,0,5,2020-02-22
"33",15,10,0,5,2020-02-23
"34",15,10,0,5,2020-02-24
"35",15,9,0,6,2020-02-25
"36",15,9,0,6,2020-02-26
"37",16,10,0,6,2020-02-27
"38",16,9,0,7,2020-02-28
"39",24,16,1,7,2020-02-29
"40",30,22,1,7,2020-03-01
"41",53,40,6,7,2020-03-02
"42",73,59,7,7,2020-03-03
"43",104,86,11,7,2020-03-04
"44",174,155,12,7,2020-03-05
"45",222,201,14,7,2020-03-06
"46",337,313,17,7,2020-03-07
"47",451,423,21,7,2020-03-08
"48",519,490,22,7,2020-03-09
"49",711,675,28,8,2020-03-10
"50",1109,1068,33,8,2020-03-11
"51",1561,1506,43,12,2020-03-12
"52",2157,2093,52,12,2020-03-13
"53",2870,2800,58,12,2020-03-14
"54",2968,2886,70,12,2020-03-15
"55",4351,4237,97,17,2020-03-16
"56",6131,5982,132,17,2020-03-17
"57",8905,8609,191,105,2020-03-18
"58",14137,13747,269,121,2020-03-19
"59",19448,18933,368,147,2020-03-20
"60",25783,25145,462,176,2020-03-21
"61",33705,32918,609,178,2020-03-22
"62",43783,42810,795,178,2020-03-23
"63",54024,52639,1037,348,2020-03-24
"64",65950,64236,1353,361,2020-03-25
"65",83965,81509,1775,681,2020-03-26
"66",102127,98921,2337,869,2020-03-27
"67",121892,117829,2991,1072,2020-03-28
"68",140999,134709,3625,2665,2020-03-29
"69",162445,152345,4456,5644,2020-03-30
"70",188384,175652,5708,7024,2020-03-31
"71",213806,198361,6971,8474,2020-04-01
"72",244176,226592,8583,9001,2020-04-02
"73",276102,256479,9916,9707,2020-04-03
"74",309106,283214,11240,14652,2020-04-04
"75",336936,306749,12739,17448,2020-04-05
"76",366538,332480,14477,19581,2020-04-06
"77",397247,358631,16853,21763,2020-04-07
"78",428889,386296,19034,23559,2020-04-08
"79",463575,416989,21176,25410,2020-04-09
"80",497027,444921,23316,28790,2020-04-10
"81",526986,470280,25436,31270,2020-04-11
"82",555430,495158,27284,32988,2020-04-12
"83",580715,508044,29189,43482,2020-04-13
"84",607760,528351,31646,47763,2020-04-14
"85",636801,550456,34249,52096,2020-04-15
"86",668030,576908,36419,54703,2020-04-16
"87",700728,603101,39082,58545,2020-04-17
"88",729016,622652,41524,64840,2020-04-18
"89",754959,641824,42798,70337,2020-04-19
"90",782261,665301,44631,72329,2020-04-20
"91",807817,685479,47134,75204,2020-04-21
"92",835966,709034,49566,77366,2020-04-22
"93",869994,737762,52029,80203,2020-04-23
"94",906423,753169,54175,99079,2020-04-24
"95",939312,783074,55866,100372,2020-04-25
"96",966935,802753,57194,106988,2020-04-26
"97",989382,819297,58661,111424,2020-04-27
"98",1013906,837070,60900,115936,2020-04-28
"99",1041393,857252,63421,120720,2020-04-29
"100",1070903,851217,65739,153947,2020-04-30
"101",1105029,873386,67628,164015,2020-05-01
"102",1134042,889341,69319,175382,2020-05-02
"103",1159578,908988,70438,180152,2020-05-03
"104",1182018,923067,71771,187180,2020-05-04
"105",1206122,942244,74087,189791,2020-05-05
"106",1231329,964969,76450,189910,2020-05-06
"107",1259148,985729,78383,195036,2020-05-07
"108",1286197,1007079,80125,198993,2020-05-08
"109",1311912,1017766,81612,212534,2020-05-09
"110",1331650,1032978,82503,216169,2020-05-10
